customer_id,quarter,survey_date,account_manager_responsive,billing_accuracy,budget_control,change_management,communication_clarity,competitive_pricing,cost_transparency,documentation_help,executive_access,innovation_solutions,long_term_partnership,problem_solving,project_management,quality_deliverables,roi_demonstration,support_responsiveness,system_integration,technical_documentation,technical_expertise,timeline_adherence,training_quality,trust_reliability,value_for_money,overall_satisfaction,nps_score,renewal_likelihood,revenue_growth_pct,referrals_generated
CUST_001,Q1_2024,2024-03-22,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,6.0,6.0,4,6,4,12.3,1
CUST_002,Q1_2024,2024-03-20,5.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,6.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,5,3,17.8,0
CUST_003,Q1_2024,2024-03-17,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3,4,3,-7.8,0
CUST_004,Q1_2024,2024-03-08,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4,5,2,-13.4,0
CUST_005,Q1_2024,2024-03-12,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,5,5,4,3.7,2
CUST_006,Q1_2024,2024-03-17,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4,7,2,5.7,0
CUST_007,Q1_2024,2024-03-20,4.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4,6,4,9.3,1
CUST_008,Q1_2024,2024-03-06,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3,4,3,-20.1,0
CUST_009,Q1_2024,2024-03-13,5.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4,8,2,4.3,3
CUST_010,Q1_2024,2024-03-05,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4,5,3,2.5,0
CUST_011,Q1_2024,2024-03-24,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4,4,3,12.0,0
CUST_012,Q1_2024,2024-03-25,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,5,5,3,7.8,2
CUST_013,Q1_2024,2024-03-14,3.0,3.0,3.0,4.0,4.0,3.0,4.0,6.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3,6,2,3.4,0
CUST_014,Q1_2024,2024-03-09,6.0,4.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,4,5,4,11.3,2
CUST_015,Q1_2024,2024-03-18,4.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,5,7,4,10.4,0
CUST_016,Q1_2024,2024-03-12,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,4,7,3,3.5,4
CUST_017,Q1_2024,2024-03-11,4.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,6.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4,7,3,-0.7,2
CUST_018,Q1_2024,2024-03-16,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,5,6,3,9.9,2
CUST_019,Q1_2024,2024-03-15,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4,6,4,-0.1,3
CUST_020,Q1_2024,2024-03-05,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4,6,3,-4.6,0
CUST_021,Q1_2024,2024-03-15,4.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3,1,3,-7.9,0
CUST_022,Q1_2024,2024-03-08,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,4,7,4,9.0,1
CUST_023,Q1_2024,2024-03-21,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,3,5,2,8.8,0
CUST_024,Q1_2024,2024-03-13,5.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4,8,4,15.4,3
CUST_025,Q1_2024,2024-03-08,5.0,4.0,5.0,6.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,6.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4,8,4,4.3,2
CUST_026,Q1_2024,2024-03-16,6.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,6.0,6.0,7.0,4.0,5.0,5.0,4.0,5,7,2,16.7,3
CUST_027,Q1_2024,2024-03-05,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3,4,2,-9.7,1
CUST_028,Q1_2024,2024-03-19,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,5,5,3,6.6,2
CUST_029,Q1_2024,2024-03-21,5.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5,6,4,4.9,4
CUST_030,Q1_2024,2024-03-23,5.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4,5,3,5.3,1
CUST_031,Q1_2024,2024-03-11,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4,4,3,5.5,0
