application_id,application_date,loan_amount,annual_income,employment_years,job_stability_score,credit_score,credit_utilization,payment_history_score,open_credit_lines,debt_to_income_ratio,savings_ratio,asset_value,age,education_level,marital_status,residential_stability,loan_status
APP_2328,2022-01-01,132221.82,60451.82,6.6,0.898,679,0.106,0.876,1,0.451,0.5,352569.55,41,High School,Married,3.5,0
APP_558,2022-01-01,134906.42,114634.08,10.3,0.808,718,0.03,0.719,4,0.09,0.235,224364.21,46,Masters,Divorced,11.4,0
APP_2477,2022-01-01,30285.19,82772.53,12.1,0.964,768,0.174,0.775,6,0.201,0.172,514765.55,44,High School,Widowed,8.6,0
APP_741,2022-01-01,32516.09,94023.36,9.1,0.69,670,0.141,0.993,3,0.322,0.368,182541.72,26,Bachelors,Single,3.9,0
APP_145,2022-01-02,77900.99,53515.02,7.2,0.679,651,0.097,0.946,2,0.222,0.324,223691.29,50,Associates,Single,9.6,0
APP_1457,2022-01-02,108609.86,45707.12,5.8,0.893,680,0.287,0.849,4,0.301,0.43,300440.03,52,Masters,Single,6.8,0
APP_188,2022-01-02,304091.57,78638.02,2.8,0.875,713,0.379,0.966,8,0.095,0.531,128691.02,41,Associates,Married,11.0,0
APP_1362,2022-01-02,66373.48,76531.42,9.6,0.96,683,0.626,0.982,4,0.28,0.667,98434.58,45,Bachelors,Married,8.4,0
APP_1622,2022-01-02,500000.0,72138.23,6.6,0.811,714,0.438,0.889,2,0.366,0.538,43282.39,32,Bachelors,Married,11.9,0
APP_1176,2022-01-03,22245.33,15000.0,6.1,0.078,670,0.732,0.194,4,0.624,0.371,123173.7,44,Associates,Widowed,2.2,1
APP_1136,2022-01-03,74319.87,44424.94,3.4,0.449,543,0.712,0.434,1,0.874,0.007,19924.96,47,High School,Single,3.5,1
APP_988,2022-01-04,51049.53,38390.76,8.5,0.802,696,0.212,0.943,5,0.304,0.253,180003.63,45,Masters,Married,9.1,0
APP_721,2022-01-04,76082.96,42472.29,10.9,0.519,796,0.296,0.869,3,0.167,0.483,14654.86,34,Associates,Married,5.4,0
APP_771,2022-01-05,93771.1,64232.49,10.9,0.77,721,0.137,0.938,6,0.18,0.292,90274.88,52,Bachelors,Married,4.9,0
APP_307,2022-01-05,232921.69,107349.73,7.1,0.896,664,0.231,0.946,7,0.293,0.412,80234.81,43,Masters,Married,6.6,0
APP_718,2022-01-06,105442.49,54175.31,2.7,0.458,521,0.85,0.23,0,0.807,0.011,13011.44,35,High School,Married,5.2,1
APP_953,2022-01-07,54754.54,103335.16,4.5,0.826,710,0.121,0.947,7,0.312,0.342,61293.18,36,Masters,Married,7.5,0
APP_1387,2022-01-07,290825.38,53417.83,0.0,0.079,513,0.748,0.446,4,0.745,0.054,15735.93,37,Bachelors,Divorced,5.5,1
APP_1223,2022-01-07,232706.14,17595.25,0.0,0.112,506,0.721,0.491,1,0.555,0.194,8357.53,24,Associates,Divorced,4.0,1
APP_2238,2022-01-08,74279.15,64561.6,10.0,0.973,743,0.203,0.991,1,0.177,0.362,107090.18,56,Bachelors,Single,0.2,0
APP_654,2022-01-08,234655.79,31925.4,11.1,0.741,669,0.209,0.959,6,0.383,0.325,161675.59,47,Doctorate,Single,4.5,0
APP_194,2022-01-09,78230.01,75568.4,5.7,0.087,599,0.945,0.125,0,0.652,0.124,15073.31,32,Doctorate,Single,1.2,1
APP_1379,2022-01-09,123279.65,70436.2,8.9,0.636,739,0.086,0.997,4,0.253,0.461,242394.8,40,Bachelors,Married,2.5,0
APP_527,2022-01-10,226879.59,18053.14,3.7,0.107,587,0.486,0.25,1,0.721,0.059,187343.11,26,Bachelors,Married,1.8,1
APP_750,2022-01-10,17355.94,92053.09,6.2,0.883,688,0.036,0.981,5,0.057,0.339,68659.81,46,High School,Married,5.5,0
APP_1643,2022-01-10,121825.4,68923.4,5.8,0.722,667,0.027,0.945,6,0.296,0.265,427725.65,45,Bachelors,Married,7.6,0
