customer_id,monthly_transactions,avg_basket_size,total_spend,avg_session_duration,email_open_rate,product_views_per_visit,return_rate,customer_tenure_months,recency_days
CUST_0001,1.8,3.0,527.04,38.1,0.95,17.3,0.0,23,33
CUST_0002,5.4,4.5,1137.72,20.0,0.0,16.1,0.41,1,8
CUST_0003,2.9,4.4,670.28,64.3,0.52,36.9,0.11,32,39
CUST_0004,12.0,22.8,6359.35,37.9,0.17,42.2,0.0,21,5
CUST_0005,2.2,17.6,4058.48,22.5,0.53,18.4,0.15,20,18
CUST_0006,8.6,4.1,1644.74,33.1,0.95,41.5,0.0,34,16
CUST_0007,1.2,2.7,484.49,57.8,0.0,34.4,0.03,14,32
CUST_0008,2.4,3.7,562.82,66.2,0.95,35.5,0.28,25,29
CUST_0009,13.7,23.2,7308.3,38.9,0.0,36.9,0.27,23,8
CUST_0010,0.5,15.5,3912.67,10.3,0.0,7.1,0.0,10,7
CUST_0011,2.9,3.2,343.44,71.7,0.89,42.5,0.5,11,44
CUST_0012,11.9,22.2,6875.08,54.2,0.95,41.4,0.06,34,4
CUST_0013,5.0,3.9,707.14,26.6,0.1,35.0,0.17,1,11
CUST_0014,2.3,2.8,409.62,55.7,0.0,29.5,0.47,6,30
CUST_0015,2.2,4.0,1368.51,20.4,0.0,21.1,0.09,4,12
CUST_0016,11.5,7.7,1935.51,35.1,0.3,34.8,0.2,42,12
CUST_0017,8.6,5.7,1812.16,22.4,0.0,30.0,0.24,22,13
CUST_0018,13.3,20.3,6151.42,46.2,0.0,45.8,0.16,20,8
CUST_0019,3.3,15.2,3887.22,24.8,0.95,19.1,0.3,26,32
CUST_0020,1.0,12.8,3447.13,16.0,0.0,11.8,0.05,10,15
CUST_0021,16.6,25.6,7711.46,32.3,0.0,35.7,0.27,21,4
CUST_0022,17.9,23.1,6061.73,51.2,0.95,41.5,0.05,30,9
CUST_0023,8.8,5.5,1641.02,23.4,0.24,35.6,0.18,25,16
CUST_0024,1.0,2.1,368.57,46.7,0.0,27.4,0.25,3,24
CUST_0025,7.1,3.5,1643.15,29.3,0.95,40.6,0.04,19,17
CUST_0026,6.2,9.7,1715.16,43.1,0.82,37.6,0.21,8,15
CUST_0027,5.0,20.3,3752.23,22.3,0.0,12.3,0.17,20,15
CUST_0028,10.3,7.5,1596.12,33.3,0.74,40.5,0.0,30,18
CUST_0029,12.8,19.2,6172.38,59.0,0.95,51.6,0.0,33,9
CUST_0030,5.4,3.2,1425.47,24.6,0.44,30.2,0.24,14,10
CUST_0031,8.9,5.1,1732.26,23.9,0.5,29.8,0.1,19,13
CUST_0032,0.2,1.0,419.27,38.3,0.0,24.8,0.0,14,26
CUST_0033,9.6,5.8,1839.2,27.5,0.0,38.5,0.16,25,13
CUST_0034,6.8,11.1,1702.04,35.3,0.85,29.8,0.14,8,13
CUST_0035,10.3,15.5,5470.65,37.4,0.95,38.3,0.04,11,9
CUST_0036,5.6,3.5,1327.59,35.8,0.95,40.9,0.02,24,20
CUST_0037,0.7,2.2,363.26,58.8,0.0,28.1,0.34,8,30
CUST_0038,14.9,20.9,6703.28,43.1,0.95,39.3,0.11,24,6
CUST_0039,14.3,22.3,6733.02,39.9,0.0,38.7,0.31,17,9
CUST_0040,8.7,8.0,963.53,21.6,0.0,36.8,0.13,5,12
CUST_0041,13.3,22.1,5810.46,36.7,0.95,40.4,0.0,18,1
CUST_0042,17.0,25.1,7212.68,61.8,0.95,54.8,0.09,47,15
CUST_0043,14.8,21.3,7074.45,44.5,0.95,42.8,0.04,30,12
CUST_0044,6.1,3.8,1439.68,30.4,0.95,31.4,0.22,20,11
CUST_0045,1.4,2.1,451.56,40.9,0.95,26.4,0.2,29,30
CUST_0046,0.2,1.0,216.38,29.6,0.0,24.0,0.06,1,32
CUST_0047,5.5,18.2,3027.07,18.9,0.0,22.6,0.5,17,25
CUST_0048,16.8,24.0,7200.37,51.6,0.95,46.3,0.09,34,5
CUST_0049,2.0,15.5,2950.9,23.9,0.95,15.8,0.09,24,27
CUST_0050,0.6,2.8,425.44,62.7,0.95,38.7,0.0,27,32
CUST_0051,8.6,5.3,1525.79,29.9,0.74,41.4,0.02,26,19
CUST_0052,0.2,1.6,431.47,49.9,0.0,30.1,0.32,11,38
CUST_0053,11.5,20.1,5502.31,42.3,0.95,42.9,0.0,21,8
CUST_0054,6.4,24.1,4580.38,30.3,0.79,17.2,0.22,42,28
CUST_0055,18.0,29.0,6813.37,50.8,0.0,51.6,0.19,34,8
CUST_0056,3.6,7.1,1399.44,39.6,0.0,27.4,0.06,1,14
CUST_0057,5.9,1.9,1278.35,33.7,0.95,39.3,0.0,18,16
CUST_0058,7.4,4.7,1482.33,23.7,0.95,27.9,0.11,19,21
CUST_0059,2.5,21.8,4461.03,18.1,0.0,13.0,0.0,24,18
CUST_0060,6.2,5.2,1143.33,31.4,0.95,25.7,0.07,9,9
CUST_0061,7.0,4.7,1437.73,25.1,0.0,28.8,0.21,17,19
CUST_0062,7.4,5.9,1450.79,28.5,0.0,37.7,0.14,19,17
CUST_0063,7.6,4.7,1525.38,33.8,0.95,47.5,0.0,29,17
CUST_0064,16.8,24.3,6558.88,59.4,0.95,47.8,0.06,40,11
CUST_0065,12.9,19.7,7347.18,30.5,0.0,27.6,0.23,12,6
CUST_0066,6.0,3.2,1400.74,28.3,0.95,35.7,0.18,19,17
CUST_0067,8.1,4.7,1460.05,28.5,0.26,25.3,0.26,21,19
CUST_0068,0.8,2.4,379.26,62.3,0.16,35.7,0.0,12,34
CUST_0069,0.8,2.1,298.45,46.9,0.0,33.6,0.5,2,37
CUST_0070,15.1,23.0,6841.46,44.3,0.18,45.4,0.0,27,10
CUST_0071,2.5,3.1,374.34,67.1,0.76,35.9,0.43,13,38
CUST_0072,4.4,19.4,3490.64,23.2,0.95,16.8,0.25,28,23
CUST_0073,1.1,19.3,4319.91,19.4,0.38,13.2,0.0,28,16
CUST_0074,0.4,1.8,580.12,37.2,0.0,23.2,0.22,22,23
CUST_0075,11.8,20.8,6815.72,47.3,0.95,42.4,0.03,21,7
CUST_0076,7.0,3.2,1893.45,27.5,0.76,24.8,0.27,24,14
CUST_0077,1.7,3.9,478.86,48.5,0.0,25.9,0.42,12,44
CUST_0078,1.0,8.1,2739.12,28.9,0.95,24.8,0.4,28,16
CUST_0079,1.5,2.0,354.92,46.7,0.35,28.2,0.44,9,30
CUST_0080,5.0,24.2,4247.21,33.2,0.85,23.2,0.23,38,23
CUST_0081,0.2,1.3,243.07,24.4,0.0,18.3,0.0,1,28
CUST_0082,0.2,1.0,201.27,39.0,0.88,28.7,0.01,2,27
CUST_0083,9.3,6.1,1267.6,41.1,0.95,51.9,0.0,29,13
CUST_0084,4.1,4.7,535.06,48.1,0.95,30.6,0.5,22,43
CUST_0085,0.2,1.0,252.4,34.7,0.08,25.5,0.0,7,20
CUST_0086,12.3,20.7,5850.09,45.1,0.95,44.8,0.0,25,6
CUST_0087,1.2,22.2,4839.96,14.2,0.0,13.1,0.0,27,21
CUST_0088,8.9,7.4,1340.87,37.2,0.65,37.3,0.08,28,16
CUST_0089,6.1,17.7,3951.1,23.0,0.95,17.9,0.49,21,33
CUST_0090,3.9,6.8,1744.94,33.2,0.55,31.7,0.36,1,18
CUST_0091,12.7,27.4,6229.16,40.8,0.0,35.5,0.18,28,10
CUST_0092,8.4,6.2,1343.42,33.5,0.0,46.3,0.09,21,20
CUST_0093,1.5,16.5,3487.73,15.7,0.0,20.1,0.1,13,12
CUST_0094,9.7,8.6,1263.44,28.3,0.0,31.6,0.18,19,12
CUST_0095,0.8,2.9,411.18,47.3,0.95,28.5,0.14,45,44
CUST_0096,20.0,27.8,7203.63,47.5,0.0,37.8,0.22,34,14
CUST_0097,0.2,13.2,3932.23,14.0,0.95,14.8,0.0,9,19
CUST_0098,0.2,2.0,340.39,57.2,0.46,35.1,0.0,4,19
CUST_0099,15.8,24.5,6452.65,42.2,0.0,32.6,0.21,22,11
CUST_0100,0.7,1.5,285.88,53.7,0.0,27.9,0.13,1,37
CUST_0101,0.5,2.4,368.23,36.5,0.16,22.8,0.33,10,27
CUST_0102,14.5,22.1,6059.49,52.7,0.95,48.9,0.0,33,11
CUST_0103,8.1,6.0,1537.04,22.7,0.0,28.9,0.16,15,13
CUST_0104,2.2,3.3,435.94,27.5,0.58,19.1,0.16,15,40
CUST_0105,3.1,1.3,1050.89,18.0,0.95,35.5,0.12,1,11
CUST_0106,8.0,4.7,1714.38,32.2,0.95,46.9,0.18,36,17
CUST_0107,1.9,2.8,339.52,61.1,0.0,35.3,0.5,1,41
CUST_0108,14.8,20.7,6358.76,43.0,0.09,45.4,0.0,17,8
CUST_0109,15.0,22.9,7206.02,38.4,0.0,35.0,0.22,19,9
CUST_0110,0.6,2.7,519.23,55.0,0.0,35.1,0.23,30,31
CUST_0111,4.6,7.7,1939.86,33.9,0.2,23.5,0.03,5,11
CUST_0112,16.5,23.6,6556.09,45.6,0.71,41.8,0.23,32,8
CUST_0113,4.9,8.4,1464.6,26.8,0.0,22.5,0.0,8,12
CUST_0114,2.3,3.8,786.09,51.5,0.0,26.2,0.26,27,36
CUST_0115,12.8,23.0,6295.73,56.8,0.95,42.9,0.12,38,11
CUST_0116,0.2,1.9,483.72,27.7,0.0,20.7,0.12,20,27
CUST_0117,12.9,22.7,6148.76,43.0,0.0,47.4,0.16,23,8
CUST_0118,11.6,20.9,5618.33,46.6,0.0,44.0,0.14,17,3
CUST_0119,6.3,5.2,1184.61,36.4,0.0,38.6,0.3,26,16
CUST_0120,0.4,1.5,313.74,59.1,0.24,35.0,0.0,1,32
CUST_0121,2.2,5.1,1387.63,29.0,0.59,34.5,0.43,1,14
CUST_0122,5.1,2.9,1383.92,26.2,0.95,35.4,0.21,22,9
CUST_0123,5.8,5.9,1087.5,15.9,0.0,30.8,0.15,1,8
CUST_0124,1.7,4.0,563.64,53.9,0.0,28.6,0.17,30,41
CUST_0125,9.2,6.5,1527.1,25.4,0.0,34.0,0.09,18,14
CUST_0126,2.4,3.4,495.98,53.7,0.72,30.8,0.25,22,36
CUST_0127,3.0,3.7,314.24,64.6,0.95,40.4,0.33,22,37
CUST_0128,7.2,5.3,1273.66,27.8,0.73,36.7,0.08,16,13
CUST_0129,6.2,5.1,1581.91,34.9,0.0,48.1,0.17,32,12
CUST_0130,9.5,7.0,1697.03,40.6,0.95,47.0,0.0,38,17
CUST_0131,1.8,19.5,4128.14,19.3,0.95,27.8,0.18,36,22
CUST_0132,7.1,5.3,1456.58,22.7,0.0,35.3,0.12,16,15
CUST_0133,1.0,3.1,317.32,48.1,0.49,26.6,0.35,16,37
CUST_0134,1.3,2.3,300.48,58.8,0.26,34.1,0.5,6,32
CUST_0135,8.7,5.2,1342.26,35.3,0.61,41.8,0.09,23,20
CUST_0136,13.6,22.1,6685.71,47.3,0.3,48.4,0.04,28,5
CUST_0137,11.7,18.5,6673.96,53.4,0.95,54.4,0.0,29,7
CUST_0138,0.2,1.5,186.12,43.1,0.95,30.0,0.11,6,18
CUST_0139,12.0,8.4,1760.23,28.3,0.0,28.9,0.15,23,16
CUST_0140,5.6,17.4,2971.69,29.5,0.85,20.8,0.5,22,11
CUST_0141,0.2,12.7,3907.68,13.0,0.0,17.7,0.0,20,15
CUST_0142,7.4,5.0,1310.1,26.7,0.09,32.5,0.16,15,12
CUST_0143,1.7,2.9,411.37,54.3,0.62,31.9,0.23,15,32
CUST_0144,3.2,7.5,1386.03,30.0,0.0,26.2,0.02,1,12
CUST_0145,0.2,1.4,252.97,28.7,0.0,19.9,0.0,1,36
CUST_0146,13.2,23.1,7021.9,43.7,0.0,43.0,0.09,26,5
CUST_0147,0.8,3.6,272.26,51.0,0.0,36.4,0.5,4,36
CUST_0148,1.7,13.9,2687.5,25.9,0.95,26.1,0.3,23,22
CUST_0149,1.5,2.6,453.12,65.0,0.0,35.0,0.06,22,37
CUST_0150,15.0,22.4,6100.69,54.1,0.95,48.5,0.09,31,10
CUST_0151,1.8,3.2,315.16,54.2,0.0,35.8,0.5,3,40
CUST_0152,2.6,4.6,1516.2,32.8,0.04,25.1,0.28,1,20
CUST_0153,5.1,3.2,1289.05,25.5,0.39,29.7,0.23,13,7
CUST_0154,1.6,3.1,539.59,65.8,0.0,32.9,0.05,26,35
CUST_0155,11.7,23.4,7346.33,34.1,0.0,42.4,0.18,22,6
CUST_0156,0.5,2.3,400.19,31.0,0.0,19.8,0.18,1,46
CUST_0157,15.6,21.4,6380.96,30.4,0.12,31.5,0.04,15,11
CUST_0158,2.8,14.5,3304.48,27.6,0.95,19.3,0.27,21,14
CUST_0159,0.5,1.6,415.62,48.8,0.0,29.0,0.35,8,23
CUST_0160,4.4,19.3,3878.41,26.0,0.0,17.4,0.14,33,16
CUST_0161,2.7,4.2,331.69,53.7,0.39,33.5,0.5,6,41
CUST_0162,0.2,1.2,416.76,31.7,0.0,21.0,0.36,1,22
CUST_0163,14.4,21.8,6832.39,43.4,0.86,38.8,0.02,25,13
CUST_0164,5.7,4.2,1411.1,15.5,0.63,40.7,0.03,15,10
CUST_0165,1.5,3.1,430.79,53.2,0.22,32.8,0.22,13,45
CUST_0166,9.1,7.2,1448.31,29.5,0.0,34.3,0.18,16,10
CUST_0167,10.4,18.1,5541.49,44.5,0.0,42.7,0.18,9,2
CUST_0168,1.5,19.1,3957.99,24.0,0.95,17.3,0.05,27,22
